RT,Best_match_name,All_match_list,Quant_Ion,Relative_Peak_Area,Peak_Height
291.34600000002,"Thiophene, 3-methyl-","'Thiophene, 2-methyl-', 0.47, 'Thiophene, 3-methyl-', 0.5, 'Thiophene, 2-ethyl-', 0.45",97.0,125987.5679182535,30161.30736452341
297.61099999998,Unknown,,110.0,12527.731316483321,2929.3795038774906
301.788,Unknown,,84.0,62198.17711356541,13924.949752936755
312.231,Hexanal,"'Formic acid, butyl ester', 0.44, '1-Butanol, 2-methyl-', 0.45, '2-Penten-1-ol, (Z)-', 0.43, '1-Hexen-3-ol', 0.5, '4-Pentenal, 2-methyl-', 0.41, 'Hexanal', 0.69, 'Pentane, 2,2,3,4-tetramethyl-', 0.42, '3-Hexen-1-ol, (E)-', 0.52, '3-Hexen-1-ol', 0.53, '3-Hexen-1-ol, (Z)-', 0.52, '2-Hexen-1-ol, (E)-', 0.62, '5-Hexen-1-ol', 0.56, '2-Hexen-1-ol, (Z)-', 0.64, 'Cyclohexanol', 0.6",41.0,176989810.73539022,39954038.86419678
345.43399999997996,"Benzene, chloro-_analogue","'Benzene, chloro-', 0.43",112.0,4944.862003196213,1309.6870574094355
362.01100000002003,Furfural,"'2,4-Dimethylfuran', 0.44, '3-Furaldehyde', 0.42, 'Furfural', 0.45, '2-Cyclopenten-1-one, 2-methyl-', 0.41",96.0,12137506.87423741,2070707.5720558167
410.09200000002,"Benzene, chloro-","'Benzene, chloro-', 0.67, 'Thiophene, 2,4-dimethyl-', 0.41, 'Thiophene, 2,5-dimethyl-', 0.4, 'Thiazole, 2-ethyl-', 0.47",112.0,138501.64886850343,15196.720270872116
414.33,2-Hexyn-1-ol,"'1-Octene', 0.4, '4-Pentenal, 2-methyl-', 0.55, '3-Hexenal, (Z)-', 0.61, '2-Butenal, 2-ethyl-', 0.44, '3-Hexenal', 0.56, '3-Hexen-2-one', 0.46, 'Cyclopropane, pentyl-', 0.5, '2-Pentenal, 2-methyl-', 0.41, 'Cyclopentanone, 2-methyl-', 0.42, '2-Hexyn-1-ol', 0.65, '2-Hexenal', 0.59, '2-Hexenal, (E)-', 0.62, '1-Hepten-3-one', 0.4, '2-Cyclohexen-1-ol', 0.62, '1-Nonene', 0.55, '2-Heptanol', 0.43, '2,4-Hexadien-1-ol', 0.52, '1,6-Octadiene, 5,7-dimethyl-, (R)-', 0.43",83.0,6406837.1086613545,822906.1081809998
427.044,Toluene,"'Toluene', 0.5, '1,3,5-Cycloheptatriene', 0.48, 'Ethanol, 2-(methylthio)-', 0.4, 'Pyridine, 3-methyl-', 0.42",92.0,90845.68667493435,18133.38340115547
432.29500000001997,2-Hexenal,"'4-Pentenal, 2-methyl-', 0.62, '3-Penten-2-one, 4-methyl-', 0.44, '3-Hexenal, (Z)-', 0.63, '2-Butenal, 2-ethyl-', 0.45, '3-Hexenal', 0.64, '3-Hexen-2-one', 0.48, 'Cyclopropane, pentyl-', 0.49, '2,4-Dimethyl-1-heptene', 0.47, '2-Pentenal, 2-methyl-', 0.45, 'Cyclopentanone, 2-methyl-', 0.48, '2-Hexyn-1-ol', 0.67, '2-Hexenal', 0.74, '2-Hexenal, (E)-', 0.74, '2-Cyclohexen-1-ol', 0.58, '1-Nonene', 0.56, 'Cyclohexanone', 0.46, '2-Heptanol', 0.46, '4-Heptenal, (Z)-', 0.45, '2,4-Hexadien-1-ol', 0.55, '1,6-Octadiene, 5,7-dimethyl-, (R)-', 0.48",83.0,195906153.73717988,29991769.72668457
